"cpf","sexo","salario","estado","poupanca","altura","peso","total.emprestimo","financiamento"
"674488405","F",5599.36,"DF",0,1.47,104.74,0,"S"
"677036140","M",5094.26,"SP",0,1.57,122.53,509.43,"N"
"19593780","M",5099.48,"PR",14417.65,1.97,87,0,"S"
"899587270","F",5583.79,"BA",0,1.4,117.63,0,"S"
"965556389","M",5257.73,"AC",0,1.67,61.96,0,"S"
"575790430","F",5722.35,"PE",0,11.98,121.01,0,"S"
"441743537","M",6000,"RR",0,1.97,108.08,600,"N"
"343756429","M",5893.19,"SE",0,1.93,93.87,0,"S"
"810285594","M",5750.21,"RN",0,1.5,101.21,0,"S"
"770695858","M",5341.83,"TO",0,2.01,109.48,0,"S"
"52944410","F",5842.01,"TO",11668.88,1.48,111.08,584.2,"S"
"365470191","M",5550.6,"MT",0,1.96,112.7,0,"S"
"383993771","M",5927.6,"MS",6643.78,1.7,84.13,0,"S"
"184176073","M",5498.77,"TO",3186.53,1.48,89.78,549.88,"N"
"426212810","F",5714.42,"MS",0,2.02,126.08,0,"S"
"566468243","M",5692.03,"SC",16103.95,1.96,129.82,569.2,"S"
"963374869","M",5410.85,"SC",1606.89,1.62,62.35,0,"S"
"449705773","M",5162.8,"AP",30.59,1.74,80.87,0,"S"
"890133906","F",5458.59,"ES",0,1.62,75.15,545.86,"N"
"213538773","M",4971.1,"AC",0,1.92,63.63,0,"N"
"409567317","F",5151.26,"MS",0,11.7,65.35,0,"S"
"612600386","F",4539.48,"SP",9957.51,1.53,112.82,453.95,"N"
"180209821","M",4532.85,"CE",0,1.8,68.93,453.29,"N"
"328729128","M",4543.84,"PA",2690.85,1.77,85.23,454.38,NA
"318605141","F",4219.55,"SE",0,1.45,120.34,421.96,"N"
"654451054","F",4582.75,"RS",NA,2.09,92.72,0,"S"
"361580322","F",4110.32,"TO",0,1.85,102,411.03,"N"
"663804084","M",4267.99,"RS",5750.3,1.64,85.54,426.8,"N"
"147902757","F",4653.49,"CE",9095.98,1.66,75.05,0,"N"
"795576658","F",4622.68,"ES",0,1.84,105.52,NA,"N"
"78936533","M",4332.89,"MA",0,1.47,79.73,0,"N"
"602665483","M",4127.04,"TO",13285.84,2,61.35,412.7,"N"
"594315857","M",4204.58,"GO",14557.53,1.63,118,420.46,"N"
"692692601","F",NA,"MA",14708.81,1.85,121.53,0,"S"
"592291238","F",4315.73,"DF",11662.62,1.95,56.71,0,"S"
"98049952","M",NA,"DF",0,11.89,63.88,469.8,"N"
"656747446","F",4333.69,"AC",-1000,1.88,68.28,0,"S"
"636892991","M",4308.05,"CE",0,2.05,101.06,0,"N"
"286468588","M",4816.54,"MS",-1000,1.62,95.39,0,"S"
"731159708","M",4639.33,"SP",13216,1.85,127.16,0,"S"
"616189580","M",4828.59,"RO",18704.81,1.58,67.96,NA,"S"
"132343102","M",4610.8,"SC",15116.02,1.62,103.2,461.08,"N"
"372438699","F",25199.57,"BA",13011.85,1.73,104.44,0,"N"
"207551898","F",25145.54,"SC",-1000,2.03,90.48,0,"S"
"72735657","M",5382.64,"BA",19025.94,2.02,87.89,0,"N"
"580427508","F",5003.74,"AM",0,1.42,102.29,0,"N"
"189369516","F",5259.28,"AL",0,1.78,95.3,525.93,"N"
"743667745","M",5304.85,"MG",19114.68,2.06,71.18,530.49,"S"
"358800018","F",5890.88,"CE",0,2.03,128.2,0,"S"
"848133169","M",5338.42,"RJ",10078.1,1.78,121.83,533.84,"S"
"816303374","M",5957.88,"GO",0,2.07,129.21,0,"S"
"792789535","M",5489.12,"RN",14428.67,1.44,56.38,0,"N"
"661792825","F",5505.59,"MG",14737.13,11.69,79.82,0,"N"
"685717715","M",5566.49,"AC",0,1.62,116.09,0,"S"
"173559152","M",5785.01,"PE",0,1.42,129.71,578.5,"N"
"846321847","M",5988.15,"MT",10267.8,1.7,84.82,0,"N"
"601820568","F",5626.39,"MA",0,2.06,101.53,0,NA
"224930073","M",5673.42,"SE",0,1.68,83.54,0,"S"
"777183117","M",5378.73,"MG",-1000,1.79,122.05,0,"N"
"261759879","M",5342.13,"PI",9439.06,1.92,102.37,0,"S"
"766407795","M",4997.69,"AC",11202.74,1.97,88.28,499.77,"N"
"795326449","F",4953.99,"PB",0,2.1,55.55,0,"N"
"804595744","M",5065.77,"PI",0,1.61,92.99,0,"N"
"555284650","M",5065.23,"PB",0,1.54,125.01,0,"N"
"389805494","M",5222.71,"RS",-1000,1.45,123.6,0,"S"
"813971611","M",4525.37,"PB",-1000,1.56,129.89,452.54,"N"
"715051220","F",4918.77,"GO",-1000,1.89,86.64,0,"N"
"332240655","M",4702.71,"MG",NA,1.71,98.71,0,"N"
"132304516","F",4307.96,"AL",12032.38,1.72,105.66,0,"S"
"30538786","M",4418.44,"AL",0,1.96,69.51,0,"N"
"651791450","F",4456.86,"RR",1023.35,1.49,82.63,445.69,"N"
"728489788","F",4278.67,"MG",0,1.96,112.46,0,"N"
"688808168","F",4689.86,"BA",0,1.99,119.37,0,"N"
"889908983","F",4414.32,"MS",0,1.46,56.6,0,"N"
"362240964","F",4201.85,"SP",13230.32,1.7,61.16,420.19,"N"
"868809906","F",4460.14,"CE",0,2.02,82.91,0,"N"
"535751198","F",4299.31,"AC",0,1.7,108.56,429.93,"N"
"36417672","F",4618.71,"AL",0,1.83,102.09,0,"N"
"305769345","M",4089.1,"MT",12097.92,1.86,101.64,0,"S"
"839747002","M",4297.15,"MA",5542.76,2.1,106.36,0,"N"
"583918581","M",4558.59,"AC",0,1.62,114.28,0,"N"
"337459818","F",4316.29,"CE",0,1.49,99.72,431.63,"N"
"984384912","M",4844.69,"RO",0,1.59,95.06,0,"N"
"37181362","M",4965.43,"MG",12783.73,1.95,116.45,496.54,"N"
"966057391","F",4631.74,"GO",11875.57,1.98,93.17,463.17,"N"
"545225865","F",4842.06,"AP",0,1.8,67.85,0,"N"
"269258742","M",5208.58,"MS",1538.25,1.72,96.53,0,"S"
"378042505","F",5073.03,"AL",11451.96,2.02,100.18,0,"S"
"622409979","F",5003.47,"MG",4581.04,1.78,104.87,500.35,"N"
"871722304","F",5246.53,"PI",0,1.98,88.64,0,"S"
"844319421","F",5441.39,"AP",0,1.62,90.62,0,"S"
"284286509","M",5807.2,"SE",0,1.52,67.46,580.72,"N"
"481597881","M",5775.85,"PB",0,1.98,81.61,0,"S"
"54958256","M",5572.08,"RN",4021.8,1.63,64.96,0,"S"
"259272794","F",5507.3,"MT",1372.99,11.71,113.86,0,"S"
"999056164","M",5446.5,"MG",0,1.52,98.7,0,"S"
"72320518","M",25715.66,"TO",0,1.42,69.61,571.57,"N"
"990622243","M",5415.64,"AP",0,11.63,76.71,0,"S"
"439380605","M",5394.91,"MA",0,1.89,80.33,0,"S"
"162729174","M",5725.48,"PB",0,1.82,84.03,0,"S"
"527461538","F",5935.35,"AP",0,1.56,97.79,0,"S"
"561660553","F",5463.2,"CE",11020.77,1.56,106.52,0,"N"
"484735673","F",5537.52,"SC",0,1.64,98.47,0,"S"
"590640618","F",5615.95,"RO",0,2.01,76.41,0,"S"
"734523274","F",5234.63,"SC",0,2.03,59.6,0,"S"
"749231336","F",5098.71,"GO",5083.93,1.54,86.03,0,"N"
"800873613","M",5050.6,"SC",0,1.85,70.45,505.06,"N"
"114855988","F",5173.08,"ES",0,2.06,56.01,NA,"S"
"732206763","M",5093.54,"MT",0,1.99,60.94,0,"N"
"979735564","F",NA,"RN",0,1.55,80.61,453.09,"N"
"544595374","M",4791.5,"SC",NA,1.95,98.52,479.15,NA
"197264898","F",4432.7,"PI",14558.95,1.59,94.28,443.27,"N"
"652029871","F",4815.36,"GO",18703.8,1.54,114.66,481.54,"N"
"602296021","F",4474.2,"SC",0,11.58,94.5,0,"N"
"765412674","M",4152.84,"GO",0,1.84,99.62,0,"N"
"47273521","F",4313.4,"MG",-1000,1.4,120.64,0,"S"
"437181754","F",4532.7,"SP",16003.27,1.69,100.78,0,"S"
"446433650","M",4278.18,"GO",0,1.8,68.91,427.82,"N"
"944893801","M",4615.78,"MA",12820.22,1.86,73.52,461.58,"N"
"999966843","M",NA,"MA",0,1.69,78.69,0,"N"
"980998075","F",4423.99,"SC",0,1.43,123.87,0,"N"
"672097271","M",4000,"AC",-1000,11.72,114.22,0,"N"
"314661208","M",24693.74,"SE",0,1.74,105.84,0,"N"
"857396538","F",4072,"AP",0,1.93,87.68,407.2,"N"
"239729870","F",4291.98,"MS",0,1.63,90.89,0,"N"
"844339631","F",4601.64,"RS",0,2.08,106.92,460.16,"N"
"331265242","M",4438.43,"RO",2965.29,1.89,102.36,443.84,"N"
"282912067","F",4589.03,"AC",0,1.67,81.6,NA,"N"
"344418752","F",4498.22,"PI",0,1.76,126.05,0,"N"
"299183244","M",4773.63,"SC",17704.78,1.83,129.02,477.36,"N"
"71618489","M",4835.48,"MS",7573.43,1.5,70.62,0,"N"
"956272438","M",4928.42,"MA",0,1.78,73.34,0,"N"
"420846192","F",5300.01,"MS",2357.71,2,113.74,530,NA
"577287213","M",5251.94,"PA",0,1.97,64.29,0,"S"
"178335052","M",5581.93,"MS",3133.77,1.68,76.24,558.19,"N"
"743322820","M",5579.16,"MT",7306.13,1.76,82.94,0,"S"
"96524313","M",5517.75,"DF",0,1.7,62.83,0,"S"
"326984516","M",25282.3,"SE",0,2.09,120.2,0,"S"
"471926035","M",5478.12,"PR",6713.58,2.04,78.17,0,"S"
"618441036","F",5505.92,"AL",0,1.92,96.6,550.59,"N"
"453435084","F",5376.15,"AC",0,1.83,98.12,0,"S"
"51265127","M",5367.18,"TO",0,1.64,62.21,0,"S"
"816936436","M",5667.82,"RS",0,1.85,97.53,0,"S"
"645864159","M",5701.69,"MG",10857.52,1.44,58.42,0,"N"
"746030775","F",5969.89,"PB",17849.54,1.64,75.42,0,"N"
"600285222","F",5385.27,"PI",0,1.93,99.34,0,"S"
"177247818","M",5291,"CE",13349.88,1.97,86.64,0,"N"
"300168030","M",5670.59,"PB",0,1.9,77.91,0,"S"
"986185143","F",5410.8,"TO",17891.46,2.04,105.44,0,"N"
"39472516","M",5044.03,"PE",0,1.66,77.46,504.4,"N"
"258764010","M",5336.45,"RR",0,11.73,114.76,0,"S"
"118756341","M",4891.57,"SP",0,1.88,87.15,0,"N"
"866371355","M",5208.13,"PE",0,2.05,100.35,0,"S"
"132054837","M",5369.31,"BA",0,1.43,114.24,0,"S"
"542794212","F",5464.73,"ES",5672.81,1.41,98.18,546.47,"N"
"731648039","F",4265.47,"AC",0,1.76,112.75,0,"N"
"490455611","F",4607.93,"MS",0,2.06,123.9,460.79,"N"
"616189580","M",4828.59,"RO",18704.81,1.58,67.96,0,"S"
"132343102","M",4610.8,"SC",15116.02,1.62,103.2,461.08,"N"
"792789535","M",5489.12,"RN",14428.67,1.44,56.38,0,"N"
"813971611","M",4525.37,"PB",-1000,1.56,129.89,452.54,"N"
"839747002","M",4297.15,"MA",5542.76,2.1,106.36,0,"N"
"844339631","F",4601.64,"RS",0,2.08,106.92,460.16,"N"
